X,Y,Theta
21.73855,-9.72351,-15.628062237714227
21.34329,-11.1365,-18.637814248881615
20.80205,-12.5002,-24.90428729123821
20.10971,-13.7935,-31.582458560023333
19.26823,-14.9951,179.68141700522344
20.23446,8.642019,177.53329523561865
20.27428,8.358648,41.74846937613023
23.49955,4.983598,63.11861085951856
28.94116,3.965228,28.881987904175798
28.94116,-4.88119,-25.011244330616552
24.41906,-5.72748,-63.925205314168565
21.99731,-8.27916,-30.618372179187112
18.28815,-16.0867,-28.72668963625608
17.18687,-17.0559,-51.77668534203518
15.98642,-17.8995,-57.696137494742956
14.70944,-18.6223,-62.914383193497194
13.37579,-19.2346,-67.43122455376597
12.00096,-19.748,-71.28813085510843
10.59703,-20.1758,-74.51816582834182
9.17299,-20.5313,-77.20413195381522
7.735089,-20.8258,-79.46173747852554
6.287432,-21.0681,-81.37483655457585
4.833023,-21.266,-82.97709751023379
3.374054,-21.427,-84.31474604235841
1.911976,-21.5568,-85.47101394202097
0.447684,-21.6588,-86.50416066032419
-1.01814,-21.7358,-87.4247643572092
-2.48495,-21.7907,-88.25877391093003
-3.9524,-21.825,-89.0728794708663
-5.42018,-21.8382,-89.9121710022283
-6.888,-21.8295,269.2114647306225
-8.3555,-21.7978,268.256787444064
-9.8222,-21.7402,267.15504169236374
-11.2874,-21.6521,265.85639198242905
-12.7499,-21.5281,264.31232602769614
-14.2082,-21.3612,262.44302406028
-15.6595,-21.1421,260.1669746430148
-17.0999,-20.86,257.3921955206963
-18.5231,-20.5016,254.03743505648342
-19.9205,-20.0532,250.0439317538105
-21.2799,-19.5006,245.3884999918175
-22.5862,-18.8321,240.17002134295268
-23.8228,-18.0425,234.57890853041374
-24.9745,-17.1335,228.8885522441439
-26.0311,-16.1153,223.41189125761923
-26.9892,-15.0039,218.37814556343923
-27.8516,-13.8166,213.92411008659136
-28.6262,-12.57,210.08690688186547
-29.3224,-11.278,206.8149718950079
-29.9499,-9.95122,204.03305927641753
-30.5176,-8.5977,201.6577847221383
-31.0331,-7.22341,199.59578540335713
-31.502,-5.83254,197.7632181835361
-31.9286,-4.42809,196.09774113907628
-32.3159,-3.0123,194.52707924566855
-32.6649,-1.58657,192.97569992136457
-32.975,-0.15189,191.39025290999987
-33.2446,1.290948,189.69685624200423
-33.4694,2.741425,187.79922352126113
-33.6429,4.198902,185.60992062973082
-33.7563,5.66225,182.9945486336372
-33.7962,7.129375,179.77931685518175
-33.745,8.596045,175.75857556851759
-33.5793,10.05404,170.67710930622127
-33.2702,11.48823,164.29139160221553
-32.7865,12.87289,156.5184605839205
-32.1047,14.17106,147.61538127932576
-31.2211,15.34103,138.28659591917963
-30.1598,16.35294,129.45649608270696
-28.9624,17.20008,121.78467890674507
-27.6705,17.89545,115.51436760049339
-26.3172,18.46259,110.54008486418074
-24.9242,18.92444,106.61451201750299
-23.5057,19.30151,103.51866723506774
-22.0709,19.61044,101.04652939786305
-20.6251,19.86387,99.04328567514483
-19.1721,20.07181,97.40271182210608
-17.7142,20.24207,96.03978776000636
-16.2529,20.38068,94.89253605127426
-14.7894,20.49243,93.91326608425585
-13.3242,20.58102,93.06093808583317
-11.8579,20.64919,92.30636721938995
-10.3909,20.69916,91.63031173053882
-8.92346,20.73271,91.01124844308754
-7.45573,20.75097,90.42274578240946
-5.98788,20.75437,89.84718090999819
-4.52007,20.74314,89.27530929137251
-3.05245,20.71724,88.68989213559225
-1.58518,20.67602,88.06215363475623
-0.11848,20.61797,87.36696812801037
1.347359,20.54116,86.58593700835361
2.811926,20.44315,85.6869961278843
4.27462,20.32039,84.6185453209051
5.734498,20.16784,83.322732486611
7.190121,19.97907,81.73040790521046
8.639228,19.74566,79.7368813560074
10.07813,19.45615,77.20025146567333
11.5008,19.09554,73.92781904136605
12.89713,18.64397,69.67082319180224
14.2504,18.07684,64.16100773849595
15.53415,17.36697,57.15402561799785
16.70915,16.48949,48.7223723441489
17.73125,15.43829,39.425318446543436
18.56498,14.2322,30.233588155953566
19.20361,12.91193,22.15413578319553
19.66902,11.52063,15.735211298432535
19.99851,10.09064,35.23632777830963
24.40649,4.81387,44.299435417095914
25.31342,4.644142,79.39998607533221
26.22036,4.474413,79.39998607533218
27.12729,4.304685,79.4000165940572
28.03423,4.134957,243.97073106419134
20.4742,7.553822,249.63158291460547
20.83579,6.807517,31.800169158042106
21.34349,6.15181,43.69992620698782
21.97549,5.614886,55.59989000995759
22.70462,5.219821,42.48453934984767
30.82573,-4.04869,50.8488343095292
32.14175,-2.46353,153.53339014331632
32.61338,-0.45798,180.0
32.14175,1.547566,206.46664168762706
30.82573,3.132725,-48.151270851022076
23.81969,-5.90596,-38.97767246535306
23.27035,-6.20483,-55.46894101657356
22.79491,-6.61109,-43.503582663521726
22.41403,-7.10709,-31.5380396101782
22.14425,-7.67129,109.85515340267906
28.18748,-5.02224,115.36765605178437
27.43379,-5.16329,-79.40024340224808
26.68011,-5.30433,-79.40024340224805
25.92642,-5.44538,-79.39987615982683
25.17274,-5.58643,-79.39980743109615
